"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 20 16:42:47 UTC 2026","Tue Jan 20 16:42:48 UTC 2026","443","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Jan 20 16:42:50 UTC 2026","Tue Jan 20 16:42:51 UTC 2026","889","UI Tests Suite","UI Tests","tests.ui.CheckoutFlowTests","tests.ui.CheckoutFlowTests","completeCheckoutFlowTest","Complete Checkout Flow E2E",""
"passed","Tue Jan 20 16:42:49 UTC 2026","Tue Jan 20 16:42:49 UTC 2026","235","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Jan 20 16:42:48 UTC 2026","Tue Jan 20 16:42:48 UTC 2026","236","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
